record_type,holding_month,signal_month,thesis_name,thesis_label,role,params_label,anchor_trade_date,next_execution_date,position,security_id,ticker_local,eodhd_symbol,company_name,country_code,exchange_group,currency,signal_score,asof_trade_date,anchor_close_sek,median_daily_value_60d_sek,market_cap_sek,order_notional_sek,target_weight,adv_participation_ratio,data_status,one_way_cost_bps,action,gross_return,trade_cost,net_return
current,2026-03,2026-02,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=5,2026-02-27T00:00:00,2026-03-02T00:00:00,1,SAAB-B.ST,SAAB-B,SAAB-B.ST,Saab AB (publ),SE,Nasdaq Stockholm,SEK,1.895509345998216,2026-02-27T00:00:00,653.4,1103612829.65,,50000.0,0.2,4.5305743696235394e-05,fresh,27.750000000000004,hold,,,
current,2026-03,2026-02,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=5,2026-02-27T00:00:00,2026-03-02T00:00:00,2,LUG.ST,LUG,LUG.ST,Lundin Gold Inc,SE,Nasdaq Stockholm,SEK,1.6470623805250209,2026-02-27T00:00:00,844.5,230672158.75,,50000.0,0.2,0.00021675784486063383,fresh,27.750000000000004,hold,,,
current,2026-03,2026-02,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=5,2026-02-27T00:00:00,2026-03-02T00:00:00,3,LUMI.ST,LUMI,LUMI.ST,Lundin Mining Corporation,SE,Nasdaq Stockholm,SEK,1.5952063447972678,2026-02-27T00:00:00,289.6,134160040.8,,50000.0,0.2,0.00037268921283750836,fresh,27.750000000000004,hold,,,
current,2026-03,2026-02,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=5,2026-02-27T00:00:00,2026-03-02T00:00:00,4,PAAL-B.CO,PAAL-B,PAAL-B.CO,Per Aarsleff Holding A/S,DK,Nasdaq Copenhagen,DKK,0.965800752208519,2026-02-27T00:00:00,1141.816,26929024.004880004,,50000.0,0.2,0.0018567327204632124,fresh,65.25000000000001,enter,,,
current,2026-03,2026-02,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=5,2026-02-27T00:00:00,2026-03-02T00:00:00,5,VWS.CO,VWS,VWS.CO,Vestas Wind Systems A/S,DK,Nasdaq Copenhagen,DKK,0.9498868873963637,2026-02-27T00:00:00,231.86001149999998,623328203.595494,,50000.0,0.2,8.021456387115009e-05,fresh,52.74999999999999,enter,,,
history,2026-02,2026-01,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=5,2026-01-30T00:00:00,2026-02-02T00:00:00,1,LUG.ST,LUG,LUG.ST,Lundin Gold Inc,SE,Nasdaq Stockholm,SEK,2.546786404669819,2026-01-30T00:00:00,701.0,242416040.5,,50000.0,0.2,0.00020625697827945507,fresh,27.750000000000004,enter,0.13644950988819562,0.00415,0.13229950988819564
history,2026-02,2026-01,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=5,2026-01-30T00:00:00,2026-02-02T00:00:00,2,SAAB-B.ST,SAAB-B,SAAB-B.ST,Saab AB (publ),SE,Nasdaq Stockholm,SEK,1.310091062805106,2026-01-30T00:00:00,693.3,1074310175.05,,50000.0,0.2,4.6541493472937576e-05,fresh,27.750000000000004,enter,0.13644950988819562,0.00415,0.13229950988819564
history,2026-02,2026-01,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=5,2026-01-30T00:00:00,2026-02-02T00:00:00,3,LUMI.ST,LUMI,LUMI.ST,Lundin Mining Corporation,SE,Nasdaq Stockholm,SEK,1.1468336065344582,2026-01-30T00:00:00,229.0,108848321.5,,50000.0,0.2,0.00045935480961918184,fresh,27.750000000000004,enter,0.13644950988819562,0.00415,0.13229950988819564
history,2026-02,2026-01,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=5,2026-01-30T00:00:00,2026-02-02T00:00:00,4,BEIA-B.ST,BEIA-B,BEIA-B.ST,Beijer Alma AB (publ),SE,Nasdaq Stockholm,SEK,0.8474201768259839,2026-01-30T00:00:00,264.5,10032419.5,,50000.0,0.2,0.0049838426313811935,fresh,71.5,enter,0.13644950988819562,0.00415,0.13229950988819564
history,2026-02,2026-01,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=5,2026-01-30T00:00:00,2026-02-02T00:00:00,5,JYSK.CO,JYSK,JYSK.CO,Jyske Bank A/S,DK,Nasdaq Copenhagen,DKK,0.7826282744068755,2026-01-30T00:00:00,1292.62905,112050139.53924999,,50000.0,0.2,0.00044622880618979977,fresh,52.74999999999999,enter,0.13644950988819562,0.00415,0.13229950988819564
history,2026-03,2026-02,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=5,2026-02-27T00:00:00,2026-03-02T00:00:00,1,SAAB-B.ST,SAAB-B,SAAB-B.ST,Saab AB (publ),SE,Nasdaq Stockholm,SEK,1.895509345998216,2026-02-27T00:00:00,653.4,1103612829.65,,50000.0,0.2,4.5305743696235394e-05,fresh,27.750000000000004,hold,-0.3,0.004845,-0.304845
history,2026-03,2026-02,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=5,2026-02-27T00:00:00,2026-03-02T00:00:00,2,LUG.ST,LUG,LUG.ST,Lundin Gold Inc,SE,Nasdaq Stockholm,SEK,1.6470623805250209,2026-02-27T00:00:00,844.5,230672158.75,,50000.0,0.2,0.00021675784486063383,fresh,27.750000000000004,hold,-0.3,0.004845,-0.304845
history,2026-03,2026-02,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=5,2026-02-27T00:00:00,2026-03-02T00:00:00,3,LUMI.ST,LUMI,LUMI.ST,Lundin Mining Corporation,SE,Nasdaq Stockholm,SEK,1.5952063447972678,2026-02-27T00:00:00,289.6,134160040.8,,50000.0,0.2,0.00037268921283750836,fresh,27.750000000000004,hold,-0.3,0.004845,-0.304845
history,2026-03,2026-02,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=5,2026-02-27T00:00:00,2026-03-02T00:00:00,4,PAAL-B.CO,PAAL-B,PAAL-B.CO,Per Aarsleff Holding A/S,DK,Nasdaq Copenhagen,DKK,0.965800752208519,2026-02-27T00:00:00,1141.816,26929024.004880004,,50000.0,0.2,0.0018567327204632124,fresh,65.25000000000001,enter,-0.3,0.004845,-0.304845
history,2026-03,2026-02,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=5,2026-02-27T00:00:00,2026-03-02T00:00:00,5,VWS.CO,VWS,VWS.CO,Vestas Wind Systems A/S,DK,Nasdaq Copenhagen,DKK,0.9498868873963637,2026-02-27T00:00:00,231.86001149999998,623328203.595494,,50000.0,0.2,8.021456387115009e-05,fresh,52.74999999999999,enter,-0.3,0.004845,-0.304845
current,2026-03,2026-02,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=0 / top_n=4,2026-02-27T00:00:00,2026-03-02T00:00:00,1,LUMI.ST,LUMI,LUMI.ST,Lundin Mining Corporation,SE,Nasdaq Stockholm,SEK,2.3921315472150804,2026-02-27T00:00:00,289.6,134160040.8,,62500.0,0.25,0.00046586151604688543,fresh,27.75,hold,,,
current,2026-03,2026-02,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=0 / top_n=4,2026-02-27T00:00:00,2026-03-02T00:00:00,2,LUG.ST,LUG,LUG.ST,Lundin Gold Inc,SE,Nasdaq Stockholm,SEK,1.9407903762289278,2026-02-27T00:00:00,844.5,230672158.75,,62500.0,0.25,0.0002709473060757923,fresh,27.75,hold,,,
current,2026-03,2026-02,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=0 / top_n=4,2026-02-27T00:00:00,2026-03-02T00:00:00,3,KIT.OL,KIT,KIT.OL,Kitron ASA,NO,Oslo Bors,NOK,1.6914276538330428,2026-02-27T00:00:00,101.04399000000001,48089889.562225,,62500.0,0.25,0.0012996494807734859,fresh,65.25,hold,,,
current,2026-03,2026-02,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=0 / top_n=4,2026-02-27T00:00:00,2026-03-02T00:00:00,4,HSHP.OL,HSHP,HSHP.OL,Himalaya Shipping Ltd,NO,Oslo Bors,NOK,1.5017242930699792,2026-02-27T00:00:00,134.15445,15583319.211204,,62500.0,0.25,0.004010698821792993,fresh,96.5,enter,,,
history,2026-02,2026-01,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=0 / top_n=4,2026-01-30T00:00:00,2026-02-02T00:00:00,1,SAAB-B.ST,SAAB-B,SAAB-B.ST,Saab AB (publ),SE,Nasdaq Stockholm,SEK,1.895509345998216,2026-01-30T00:00:00,693.3,1074310175.05,,62500.0,0.25,5.8176866841171976e-05,fresh,27.75,enter,0.26847124666044453,0.0037125,0.2647587466604445
history,2026-02,2026-01,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=0 / top_n=4,2026-01-30T00:00:00,2026-02-02T00:00:00,2,LUG.ST,LUG,LUG.ST,Lundin Gold Inc,SE,Nasdaq Stockholm,SEK,1.6470623805250209,2026-01-30T00:00:00,701.0,242416040.5,,62500.0,0.25,0.00025782122284931884,fresh,27.75,enter,0.26847124666044453,0.0037125,0.2647587466604445
history,2026-02,2026-01,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=0 / top_n=4,2026-01-30T00:00:00,2026-02-02T00:00:00,3,LUMI.ST,LUMI,LUMI.ST,Lundin Mining Corporation,SE,Nasdaq Stockholm,SEK,1.5952063447972678,2026-01-30T00:00:00,229.0,108848321.5,,62500.0,0.25,0.0005741935120239773,fresh,27.75,enter,0.26847124666044453,0.0037125,0.2647587466604445
history,2026-02,2026-01,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=0 / top_n=4,2026-01-30T00:00:00,2026-02-02T00:00:00,4,KIT.OL,KIT,KIT.OL,Kitron ASA,NO,Oslo Bors,NOK,1.1390512267557167,2026-01-30T00:00:00,76.165661,35757874.643545,,62500.0,0.25,0.001747866746081411,fresh,65.25,enter,0.26847124666044453,0.0037125,0.2647587466604445
history,2026-03,2026-02,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=0 / top_n=4,2026-02-27T00:00:00,2026-03-02T00:00:00,1,LUMI.ST,LUMI,LUMI.ST,Lundin Mining Corporation,SE,Nasdaq Stockholm,SEK,2.3921315472150804,2026-02-27T00:00:00,289.6,134160040.8,,62500.0,0.25,0.00046586151604688543,fresh,27.75,hold,-0.3,0.00310625,-0.30310624999999997
