trade_date,holding_month,security_id,action,trade_value_sek,price_sek,shares_delta,cost_bps,cost_sek,execution_date
2026-02-02,2026-02,BEIA-B.ST,buy,6220.45,3022.9816,2.057720,71.50,44.48,2026-02-02
2026-02-02,2026-02,ISS.CO,buy,6220.45,425.8435,14.607360,52.75,32.81,2026-02-02
2026-02-02,2026-02,JYSK.CO,buy,6220.45,3343.9498,1.860210,52.75,32.81,2026-02-02
2026-02-02,2026-02,LUG.ST,buy,6220.45,746.5580,8.332171,27.75,17.26,2026-02-02
2026-02-02,2026-02,LUMI.ST,buy,6220.45,819.7470,7.588255,27.75,17.26,2026-02-02
2026-02-02,2026-02,PAAL-B.CO,buy,6220.45,16390.9189,0.379506,65.25,40.59,2026-02-02
2026-02-02,2026-02,SAAB-B.ST,buy,6220.45,3281.4367,1.895648,27.75,17.26,2026-02-02
2026-02-02,2026-02,VWS.CO,buy,6220.45,15320.6007,0.406019,52.75,32.81,2026-02-02
2026-03-02,2026-03,BEIA-B.ST,sell,-5828.70,2832.6030,-2.057720,71.50,41.68,2026-03-02
2026-03-02,2026-03,BOL.ST,buy,6482.04,1582.5297,4.095999,27.75,17.99,2026-03-02
2026-03-02,2026-03,ISS.CO,buy,660.77,398.5163,1.658070,52.75,3.49,2026-03-02
2026-03-02,2026-03,JYSK.CO,buy,69.02,3447.4719,0.020020,52.75,0.36,2026-03-02
2026-03-02,2026-03,LUG.ST,sell,-2043.35,1023.1896,-1.997040,27.75,5.67,2026-03-02
2026-03-02,2026-03,LUMI.ST,sell,-1908.33,1105.7052,-1.725897,27.75,5.30,2026-03-02
2026-03-02,2026-03,PAAL-B.CO,buy,1009.91,14419.0833,0.070040,65.25,6.59,2026-03-02
2026-03-02,2026-03,SAAB-B.ST,buy,293.40,3264.6579,0.089871,27.75,0.81,2026-03-02
2026-03-02,2026-03,VWS.CO,buy,1178.02,13063.4777,0.090177,52.75,6.21,2026-03-02
