trade_date,holding_month,security_id,action,trade_value_sek,price_sek,shares_delta,cost_bps,cost_sek,execution_date
2026-02-02,2026-02,BEIA-B.ST,buy,9958.50,3022.9816,3.294264,71.50,71.20,2026-02-02
2026-02-02,2026-02,JYSK.CO,buy,9958.50,3343.9498,2.978065,52.75,52.53,2026-02-02
2026-02-02,2026-02,LUG.ST,buy,9958.50,746.5580,13.339218,27.75,27.63,2026-02-02
2026-02-02,2026-02,LUMI.ST,buy,9958.50,819.7470,12.148261,27.75,27.63,2026-02-02
2026-02-02,2026-02,SAAB-B.ST,buy,9958.50,3281.4367,3.034799,27.75,27.63,2026-02-02
2026-03-02,2026-03,BEIA-B.ST,sell,-9331.34,2832.6030,-3.294264,71.50,66.72,2026-03-02
2026-03-02,2026-03,JYSK.CO,sell,-10266.80,3447.4719,-2.978065,52.75,54.16,2026-03-02
2026-03-02,2026-03,LUG.ST,sell,-2385.18,1023.1896,-2.331121,27.75,6.62,2026-03-02
2026-03-02,2026-03,LUMI.ST,sell,-2169.03,1105.7052,-1.961667,27.75,6.02,2026-03-02
2026-03-02,2026-03,PAAL-B.CO,buy,11263.37,14419.0833,0.781143,65.25,73.49,2026-03-02
2026-03-02,2026-03,SAAB-B.ST,buy,1355.79,3264.6579,0.415293,27.75,3.76,2026-03-02
2026-03-02,2026-03,VWS.CO,buy,11263.37,13063.4777,0.862203,52.75,59.41,2026-03-02
