record_type,holding_month,signal_month,thesis_name,thesis_label,role,params_label,anchor_trade_date,next_execution_date,position,security_id,ticker_local,eodhd_symbol,company_name,country_code,exchange_group,currency,signal_score,asof_trade_date,anchor_close_sek,median_daily_value_60d_sek,market_cap_sek,order_notional_sek,target_weight,adv_participation_ratio,data_status,one_way_cost_bps,action,gross_return,trade_cost,net_return
current,2026-03,2026-02,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-02-27T00:00:00,2026-03-02T00:00:00,1,SAAB-B.ST,SAAB-B,SAAB-B.ST,Saab AB (publ),SE,Nasdaq Stockholm,SEK,1.895509345998216,2026-02-27T00:00:00,653.4,1103612829.65,,31250.0,0.125,2.8316089810147124e-05,fresh,27.75,hold,,,
current,2026-03,2026-02,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-02-27T00:00:00,2026-03-02T00:00:00,2,LUG.ST,LUG,LUG.ST,Lundin Gold Inc,SE,Nasdaq Stockholm,SEK,1.6470623805250209,2026-02-27T00:00:00,844.5,230672158.75,,31250.0,0.125,0.00013547365303789616,fresh,27.75,hold,,,
current,2026-03,2026-02,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-02-27T00:00:00,2026-03-02T00:00:00,3,LUMI.ST,LUMI,LUMI.ST,Lundin Mining Corporation,SE,Nasdaq Stockholm,SEK,1.5952063447972678,2026-02-27T00:00:00,289.6,134160040.8,,31250.0,0.125,0.00023293075802344272,fresh,27.75,hold,,,
current,2026-03,2026-02,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-02-27T00:00:00,2026-03-02T00:00:00,4,PAAL-B.CO,PAAL-B,PAAL-B.CO,Per Aarsleff Holding A/S,DK,Nasdaq Copenhagen,DKK,0.965800752208519,2026-02-27T00:00:00,1141.816,26929024.004880004,,31250.0,0.125,0.0011604579502895078,fresh,65.25,hold,,,
current,2026-03,2026-02,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-02-27T00:00:00,2026-03-02T00:00:00,5,VWS.CO,VWS,VWS.CO,Vestas Wind Systems A/S,DK,Nasdaq Copenhagen,DKK,0.9498868873963637,2026-02-27T00:00:00,231.86001149999998,623328203.595494,,31250.0,0.125,5.0134102419468805e-05,fresh,52.75,hold,,,
current,2026-03,2026-02,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-02-27T00:00:00,2026-03-02T00:00:00,6,BOL.ST,BOL,BOL.ST,Boliden AB,SE,Nasdaq Stockholm,SEK,0.8794241151769631,2026-02-27T00:00:00,717.4,774994818.1,,31250.0,0.125,4.0322850256745474e-05,fresh,27.75,enter,,,
current,2026-03,2026-02,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-02-27T00:00:00,2026-03-02T00:00:00,7,JYSK.CO,JYSK,JYSK.CO,Jyske Bank A/S,DK,Nasdaq Copenhagen,DKK,0.834990755714079,2026-02-27T00:00:00,1353.765595,120511687.825715,,31250.0,0.125,0.00025931094787415147,fresh,52.75,hold,,,
current,2026-03,2026-02,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-02-27T00:00:00,2026-03-02T00:00:00,8,ISS.CO,ISS,ISS.CO,ISS A/S,DK,Nasdaq Copenhagen,DKK,0.7932172869147658,2026-02-27T00:00:00,321.13575000000003,108814240.48243001,,31250.0,0.125,0.00028718667576461065,fresh,52.75,hold,,,
history,2026-02,2026-01,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-01-30T00:00:00,2026-02-02T00:00:00,1,LUG.ST,LUG,LUG.ST,Lundin Gold Inc,SE,Nasdaq Stockholm,SEK,2.546786404669819,2026-01-30T00:00:00,701.0,242416040.5,,31250.0,0.125,0.00012891061142465942,fresh,27.75,enter,0.04380615797383877,0.004728125000000001,0.03907803297383877
history,2026-02,2026-01,ex_norway,Ex-Norway (Sweden and Denmark only),lead,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-01-30T00:00:00,2026-02-02T00:00:00,2,SAAB-B.ST,SAAB-B,SAAB-B.ST,Saab AB (publ),SE,Nasdaq Stockholm,SEK,1.310091062805106,2026-01-30T00:00:00,693.3,1074310175.05,,31250.0,0.125,2.9088433420585988e-05,fresh,27.75,enter,0.04380615797383877,0.004728125000000001,0.03907803297383877
