record_type,holding_month,signal_month,thesis_name,thesis_label,role,candidate_id,candidate_label,params_label,anchor_trade_date,next_execution_date,position,security_id,ticker_local,eodhd_symbol,company_name,country_code,exchange_group,currency,signal_score,asof_trade_date,anchor_close_sek,median_daily_value_60d_sek,market_cap_sek,order_notional_sek,target_weight,adv_participation_ratio,data_status,one_way_cost_bps,action,gross_return,trade_cost,net_return
current,2026-06,2026-05,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-05-29T00:00:00,2026-06-01T00:00:00,1,LUMI.ST,LUMI,LUMI.ST,Lundin Mining Corporation,SE,Nasdaq Stockholm,SEK,1.9598306876649176,2026-05-29T00:00:00,278.9,147353882.89999998,,31250.0,0.125,0.00021207449294843118,fresh,27.75,hold,,,
current,2026-06,2026-05,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-05-29T00:00:00,2026-06-01T00:00:00,2,VWS.CO,VWS,VWS.CO,Vestas Wind Systems A/S,DK,Nasdaq Copenhagen,DKK,1.2450170411756498,2026-05-29T00:00:00,259.531272,626980099.5966301,,31250.0,0.125,4.9842092308998005e-05,fresh,52.75,hold,,,
current,2026-06,2026-05,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-05-29T00:00:00,2026-06-01T00:00:00,3,TRMD-A.CO,TRMD-A,TRMD-A.CO,TORM plc,DK,Nasdaq Copenhagen,DKK,1.0481146414469622,2026-05-29T00:00:00,254.702448,71276262.061068,,31250.0,0.125,0.00043843488836754177,fresh,52.75,hold,,,
current,2026-06,2026-05,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-05-29T00:00:00,2026-06-01T00:00:00,4,IPCO.ST,IPCO,IPCO.ST,International Petroleum Corporation,SE,Nasdaq Stockholm,SEK,0.957543593631538,2026-05-29T00:00:00,234.0,78585719.69999999,,31250.0,0.125,0.0003976549444262455,fresh,27.75,hold,,,
current,2026-06,2026-05,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-05-29T00:00:00,2026-06-01T00:00:00,5,SAND.ST,SAND,SAND.ST,Sandvik AB,SE,Nasdaq Stockholm,SEK,0.9447485040020083,2026-05-29T00:00:00,376.5,778814299.5,,31250.0,0.125,4.012509788284903e-05,fresh,27.75,hold,,,
current,2026-06,2026-05,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-05-29T00:00:00,2026-06-01T00:00:00,6,ABB.ST,ABB,ABB.ST,ABB Ltd,SE,Nasdaq Stockholm,SEK,0.8279277509045477,2026-05-29T00:00:00,988.4,403696423.2,,31250.0,0.125,7.740965290771989e-05,fresh,27.75,enter,,,
current,2026-06,2026-05,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-05-29T00:00:00,2026-06-01T00:00:00,7,NKT.CO,NKT,NKT.CO,NKT A/S,DK,Nasdaq Copenhagen,DKK,0.755846585594012,2026-05-29T00:00:00,1477.476,198045227.7823,,31250.0,0.125,0.0001577922394290226,fresh,52.75,hold,,,
current,2026-06,2026-05,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-05-29T00:00:00,2026-06-01T00:00:00,8,DNORD.CO,DNORD,DNORD.CO,Dampskibsselskabet Norden AS,DK,Nasdaq Copenhagen,DKK,0.7392489982128452,2026-05-29T00:00:00,426.954528,30197258.355426,,31250.0,0.125,0.0010348621597425528,fresh,65.25,hold,,,
history,2026-02,2026-01,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-01-30T00:00:00,2026-02-02T00:00:00,1,LUG.ST,LUG,LUG.ST,Lundin Gold Inc,SE,Nasdaq Stockholm,SEK,2.541773984446624,2026-01-30T00:00:00,701.0,242416040.5,,31250.0,0.125,0.00012891061142465942,fresh,27.75,enter,0.04380615797383866,0.004728125,0.03907803297383866
history,2026-02,2026-01,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-01-30T00:00:00,2026-02-02T00:00:00,2,SAAB-B.ST,SAAB-B,SAAB-B.ST,Saab AB (publ),SE,Nasdaq Stockholm,SEK,1.310091062805106,2026-01-30T00:00:00,693.3,1074310175.05,,31250.0,0.125,2.9088433420585988e-05,fresh,27.75,enter,0.04380615797383866,0.004728125,0.03907803297383866
