ma_window,rank,candidate_id,median_validation_sharpe,overall_sharpe,max_drawdown,total_return,bootstrap_ci_low,deflated_sharpe_score,fold_pass_count,gate_bootstrap,gate_deflated_sharpe,gate_negative_controls,selected
12,1,l12_s1_n8_strat=trend_filter_ma12,1.9544641160915575,1.430188095968886,0.19251836437935343,8.539121153576154,0.7684627648142031,0.27891234588626634,4,True,True,True,True
11,2,l12_s1_n8_strat=trend_filter_ma11,1.8968880117667413,1.3529815044923148,0.19251836437935343,7.016957241795833,0.6603331811951381,0.2553577489862219,4,True,True,True,False
7,3,l12_s1_n8_strat=trend_filter_ma7,1.8968880117667413,1.3640764075670633,0.15258982323305936,6.586912878188204,0.6979748404198671,0.2596906333461208,4,True,True,True,False
9,4,l12_s1_n8_strat=trend_filter_ma9,1.8537739399615663,1.357555068399019,0.19251836437935343,7.072927101541598,0.6596346906807157,0.25657227678504846,4,True,True,True,False
10,5,l12_s1_n8_strat=trend_filter_ma10,1.8537739399615663,1.357555068399019,0.19251836437935343,7.072927101541598,0.6596346906807157,0.25657227678504846,4,True,True,True,False
6,6,l12_s1_n8_strat=trend_filter_ma6,1.7303722661145067,1.319057200137356,0.1588836059284312,5.565751187509229,0.6258192563843218,0.24348303070562555,4,True,True,True,False
8,7,l12_s1_n8_strat=trend_filter_ma8,1.718842772371731,1.3296233078657462,0.19251836437935343,6.760732487579162,0.61828258505615,0.24897122999398105,4,True,True,True,False
13,8,l12_s1_n8_strat=trend_filter_ma13,0.9138343112326054,1.3199140588086458,0.16455060368446606,7.5373674471704195,0.5582536491439787,0.24293858319133343,4,True,True,True,False
14,9,l12_s1_n8_strat=trend_filter_ma14,0.9138343112326054,1.3199140588086458,0.16455060368446606,7.5373674471704195,0.5582536491439787,0.24293858319133343,4,True,True,True,False
15,10,l12_s1_n8_strat=trend_filter_ma15,0.9138343112326054,1.3299569714130022,0.16455060368446595,7.5778851930701965,0.5722967789628514,0.2464378118415122,4,True,True,True,False
